Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details
24098-9799,SG,Wesley,Wesley Matthews,Matthews,23.64444406,63,4800,DAL@NY,DAL,NY,O,Leg
24098-63123,SF,Mario,Mario Hezonja,Hezonja,17.88499959,60,4800,ORL@SA,ORL,SA,,
24098-24247,PG,Fred,Fred VanVleet,VanVleet,18.43333411,63,4800,TOR@BKN,TOR,BKN,,
24098-9655,SG,JJ,JJ Redick,Redick,24.83518473,54,4800,IND@PHI,PHI,IND,,
24098-58378,C,Jakob,Jakob Poeltl,Poeltl,17.62424168,66,4700,TOR@BKN,TOR,BKN,,
24098-17491,SF,James,James Ennis III,Ennis III,15.43508751,57,4700,DET@UTA,DET,UTA,,
24098-40562,SG,Josh,Josh Hart,Hart,14.97636386,55,4700,DEN@LAL,LAL,DEN,O,Hand
24098-9703,PG,George,George Hill,Hill,19.95454545,55,4700,CLE@PHO,CLE,PHO,,
24098-9758,SG,Danny,Danny Green,Green,20.46181863,55,4600,ORL@SA,SA,ORL,,
24098-67707,PF,Marquese,Marquese Chriss,Chriss,18.21166585,60,4600,CLE@PHO,PHO,CLE,,
24098-81026,PG,Milos,Milos Teodosic,Teodosic,20.09999932,36,4600,LAC@CHI,LAC,CHI,,
24098-15501,SF,Allen,Allen Crabbe,Crabbe,22.05238173,63,4600,TOR@BKN,BKN,TOR,,
24098-20640,SG,Jordan,Jordan Clarkson,Clarkson,22.9169227,65,4600,CLE@PHO,CLE,PHO,,
24098-80821,C,Jarrett,Jarrett Allen,Allen,18.14655172,58,4600,TOR@BKN,BKN,TOR,GTD,Foot
24098-59358,PF,Domantas,Domantas Sabonis,Sabonis,25.36212158,66,4600,IND@PHI,IND,PHI,,
24098-9873,C,Robin,Robin Lopez,Lopez,22.17118603,59,4500,LAC@CHI,CHI,LAC,,
24098-14501,C,Tristan,Tristan Thompson,Thompson,16.54285685,42,4500,CLE@PHO,CLE,PHO,O,Ankle
24098-15559,SF,Jeremy,Jeremy Lamb,Lamb,23.84848485,66,4500,CHA@NO,CHA,NO,,
24098-23772,PG,Yogi,Yogi Ferrell,Ferrell,18.89552239,67,4500,DAL@NY,DAL,NY,,
24098-9466,PG,D.J.,D.J. Augustin,Augustin,17.98666585,60,4500,ORL@SA,ORL,SA,,
24098-16405,SG,Terrence,Terrence Ross,Ross,19.11363636,22,4400,ORL@SA,ORL,SA,O,Knee
24098-60021,PF,Pascal,Pascal Siakam,Siakam,18.62615309,65,4400,TOR@BKN,TOR,BKN,,
24098-9870,SG,Kyle,Kyle Korver,Korver,15.08181855,66,4400,CLE@PHO,CLE,PHO,,
24098-70819,PF,Dragan,Dragan Bender,Bender,14.53088199,68,4400,CLE@PHO,PHO,CLE,,
24098-14543,PF,Davis,Davis Bertans,Bertans,12.7015875,63,4400,ORL@SA,SA,ORL,,
24098-9577,SF,Rudy,Rudy Gay,Gay,22.37380981,42,4400,ORL@SA,SA,ORL,,
24098-80811,PF,Jonathan,Jonathan Isaac,Isaac,15.47619048,21,4400,ORL@SA,ORL,SA,,
24098-16448,PF,Frank,Frank Kaminsky,Kaminsky,19.20937538,64,4300,CHA@NO,CHA,NO,,
24098-14533,PG,Shelvin,Shelvin Mack,Mack,15.73333288,54,4300,ORL@SA,ORL,SA,,
24098-14554,SF,E'Twaun,E'Twaun Moore,Moore,20.75454619,66,4300,CHA@NO,NO,CHA,,
24098-9451,PF,Marvin,Marvin Williams,Williams,19.25714208,63,4300,CHA@NO,CHA,NO,GTD,Eye
24098-42733,SF,David,David Nwaba,Nwaba,17.672222,54,4300,LAC@CHI,CHI,LAC,,
24098-9473,C,Tyson,Tyson Chandler,Chandler,20.67608643,46,4300,CLE@PHO,PHO,CLE,,
24098-9598,PF,Ersan,Ersan Ilyasova,Ilyasova,21.89038555,52,4300,IND@PHI,PHI,IND,,
24098-9939,PG,Patty,Patty Mills,Mills,16.89701456,67,4200,ORL@SA,SA,ORL,,
