"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"24511-23407","SF","PJ","PJ Tucker","Tucker","16.970667317708333","75","3900","PHO@HOU","HOU","PHO","","","",""
"24511-66091","PF","Cheick","Cheick Diallo","Diallo","11.775556098090277","45","3800","NO@CLE","NO","CLE","","","",""
"24511-9772","PF","Ryan","Ryan Anderson","Anderson","18.712698800223215","63","3800","PHO@HOU","HOU","PHO","","","",""
"24511-9796","PF","Luc","Luc Mbah a Moute","Mbah a Moute","16.080000443892047","55","3800","PHO@HOU","HOU","PHO","GTD","Knee","",""
"24511-14501","C","Tristan","Tristan Thompson","Thompson","16.456521739130434","46","3800","NO@CLE","CLE","NO","","","",""
"24511-9496","SG","Jason","Jason Terry","Terry","8.904545177112926","44","3800","MIL@LAL","MIL","LAL","","","",""
"24511-9512","C","","Nene","Nene","13.775510204081632","49","3800","PHO@HOU","HOU","PHO","","","",""
"24511-9613","SG","Devin","Devin Harris","Harris","15.3046875","64","3800","DEN@OKC","DEN","OKC","","","",""
"24511-23447","C","Richaun","Richaun Holmes","Holmes","14.977499389648438","40","3800","PHI@ATL","PHI","ATL","","","",""
"24511-15961","C","Tyler","Tyler Zeller","Zeller","14.537288342492054","59","3700","MIL@LAL","MIL","LAL","","","",""
"24511-58461","PF","Trey","Trey Lyles","Lyles","19.97611976737407","67","3700","DEN@OKC","DEN","OKC","","","",""
"24511-20064","PG","Matthew","Matthew Dellavedova","Dellavedova","12.016216381176099","37","3700","MIL@LAL","MIL","LAL","GTD","Ankle","",""
"24511-17542","C","Alan","Alan Williams","Williams","13.75","2","3700","PHO@HOU","PHO","HOU","","","",""
"24511-42689","PG","Tyler","Tyler Ennis","Ennis","8.476086823836617","46","3700","MIL@LAL","LAL","MIL","","","",""
"24511-14537","SF","Chandler","Chandler Parsons","Parsons","15.208333333333334","36","3700","MEM@UTA","MEM","UTA","O","Rest","",""
"24511-23831","PF","Jerami","Jerami Grant","Grant","17.113333333333333","75","3700","DEN@OKC","OKC","DEN","","","",""
"24511-17747","PG","Ian","Ian Clark","Clark","12.305796747622283","69","3700","NO@CLE","NO","CLE","","","",""
"24511-23981","SG","Alex","Alex Caruso","Caruso","8.693103658741919","29","3700","MIL@LAL","LAL","MIL","","","",""
"24511-15417","SF","Solomon","Solomon Hill","Hill","8.94000015258789","5","3600","NO@CLE","NO","CLE","","","",""
"24511-23624","SF","Andrew","Andrew White","White","7.707692072941707","13","3600","PHI@ATL","ATL","PHI","","","",""
"24511-15993","SG","Pat","Pat Connaughton","Connaughton","10.6","75","3600","LAC@POR","POR","LAC","","","",""
"24511-81621","PF","Maxi","Maxi Kleber","Kleber","12.153846153846153","65","3600","MIN@DAL","DAL","MIN","","","",""
"24511-15590","PF","Mason","Mason Plumlee","Plumlee","20.826866036030783","67","3600","DEN@OKC","DEN","OKC","","","",""
"24511-9447","SF","Joe","Joe Johnson","Johnson","13.583333333333334","48","3600","PHO@HOU","HOU","PHO","","","",""
"24511-15727","SG","Ben","Ben McLemore","McLemore","12.667347187898597","49","3600","MEM@UTA","MEM","UTA","","","",""
"24511-15771","PF","Gorgui","Gorgui Dieng","Dieng","15.343835281999144","73","3600","MIN@DAL","MIN","DAL","","","",""
"24511-17332","PF","Tarik","Tarik Black","Black","9.753333197699654","45","3600","PHO@HOU","HOU","PHO","","","",""
"24511-80824","PG","Frank","Frank Jackson","Jackson","0","0","3600","NO@CLE","NO","CLE","O","Foot","",""
"24511-66064","SG","Malik","Malik Beasley","Beasley","6.0783335367838545","60","3500","DEN@OKC","DEN","OKC","","","",""
"24511-59416","SF","John","John Holland","Holland","3.847619192940848","21","3500","NO@CLE","CLE","NO","","","",""
"24511-16411","SG","CJ","CJ Wilcox","Wilcox","2.5636364329944956","22","3500","LAC@POR","POR","LAC","","","",""
"24511-23581","PF","Amile","Amile Jefferson","Jefferson","0","0","3500","MIN@DAL","MIN","DAL","","","",""
"24511-12339","C","Ekpe","Ekpe Udoh","Udoh","12.536206475619611","58","3500","MEM@UTA","UTA","MEM","","","",""
"24511-12340","PF","Patrick","Patrick Patterson","Patterson","9.87105279219778","76","3500","DEN@OKC","OKC","DEN","","","",""
"24511-82489","SG","Myke","Myke Henry","Henry","13.266666666666667","15","3500","MEM@UTA","MEM","UTA","","","",""
"24511-12348","SF","Wesley","Wesley Johnson","Johnson","15.639705882352942","68","3500","LAC@POR","LAC","POR","","","",""
"24511-23612","SG","Marcus","Marcus Georges-Hunt","Georges-Hunt","2.5174999237060547","40","3500","MIN@DAL","MIN","DAL","","","",""
"24511-12354","C","Cole","Cole Aldrich","Aldrich","2.031578867059005","19","3500","MIN@DAL","MIN","DAL","O","Illness","",""
"24511-9804","C","Alexis","Alexis Ajinca","Ajinca","13.651282677283653","39","3500","NO@CLE","NO","CLE","O","Knee","",""
"24511-12365","PF","Ed","Ed Davis","Davis","17.457333984375","75","3500","LAC@POR","POR","LAC","","","",""
"24511-66129","C","Deyonta","Deyonta Davis","Davis","13.059999778053978","55","3500","MEM@UTA","MEM","UTA","","","",""
"24511-23121","PF","Tyler","Tyler Cavanaugh","Cavanaugh","10.292105423776727","38","3500","PHI@ATL","ATL","PHI","","","",""
"24511-9810","PG","Jerryd","Jerryd Bayless","Bayless","13.461538461538462","39","3500","PHI@ATL","PHI","ATL","","","",""
"24511-23648","SF","Erik","Erik McCree","McCree","0.800000011920929","4","3500","MEM@UTA","UTA","MEM","","","",""
"24511-43109","PF","Alec","Alec Peters","Peters","5.407142639160156","14","3500","PHO@HOU","PHO","HOU","","","",""
"24511-15975","SG","C.J.","C.J. Williams","Williams","12.61935523248488","31","3500","LAC@POR","LAC","POR","","","",""
"24511-17517","SG","Tony","Tony Snell","Snell","13.71470552332261","68","3500","MIL@LAL","MIL","LAL","","","",""
"24511-23156","PF","Georges","Georges Niang","Niang","3.0166667302449546","6","3500","MEM@UTA","UTA","MEM","","","",""
"24511-41077","PG","Sindarius","Sindarius Thornwell","Thornwell","9.395454175544508","66","3500","LAC@POR","LAC","POR","","","",""
"24511-41597","SF","Johnathan","Johnathan Motley","Motley","8.37142835344587","7","3500","MIN@DAL","DAL","MIN","","","",""
"24511-66174","PG","Jawun","Jawun Evans","Evans","11.745833079020182","48","3500","LAC@POR","LAC","POR","O","Abdomen","",""
"24511-23684","SG","Xavier","Xavier Munford","Munford","1.8666666348775227","6","3500","MIL@LAL","MIL","LAL","","","",""
"24511-9862","PF","Amir","Amir Johnson","Johnson","14.374242609197443","66","3500","PHI@ATL","PHI","ATL","","","",""
"24511-66185","PF","Caleb","Caleb Swanigan","Swanigan","5.457142784481957","21","3500","LAC@POR","POR","LAC","","","",""
"24511-58505","C","Chinanu","Chinanu Onuaku","Onuaku","7.7","5","3500","PHO@HOU","HOU","PHO","","","",""
"24511-66196","SG","PJ","PJ Dozier","Dozier","1.100000023841858","2","3500","DEN@OKC","OKC","DEN","","","",""
"24511-63126","SF","Cedi","Cedi Osman","Osman","7.278181596235796","55","3500","NO@CLE","CLE","NO","","","",""
"24511-58519","PG","Gary","Gary Payton II","Payton II","5.373684130216899","19","3500","MIL@LAL","LAL","MIL","","","",""
